Amplicon	Letter	Number	MT	WT	Ratio
GR_TET2b	I	8	268	2230	0.10728539917774547
GR_TET2a	I	9	1	0	0.9900990099009901
GR_TET2b	I	9	5255	263	0.9523360776801781
GR_TET2a	J	1	0	0	0.0
GR_TET2b	J	1	16	66	0.19509815876112668
GR_TET2a	J	10	0	2	0.0
GR_TET2b	J	10	14	18	0.43736332396126215
GR_TET2a	J	11	0	0	0.0
GR_TET2b	J	11	14	202	0.06481181426785797
GR_TET2a	J	12	39	24	0.6189493731153786
GR_TET2b	J	12	74	9140	0.008031248066802619
GR_TET2a	J	13	3	9	0.2497918401332223
GR_TET2b	J	13	309	340	0.47610976718386466
GR_TET2a	J	14	1	0	0.9900990099009901
GR_TET2b	J	14	4	37	0.0975371860521824
GR_TET2a	J	15	3	1	0.7481296758104738
GR_TET2b	J	15	1	161	0.006172458490216653
GR_TET2a	J	16	3	3	0.49916805324459235
GR_TET2b	J	16	90	102	0.46872558720899954
GR_TET2a	J	17	1	166	0.005987665409256931
GR_TET2b	J	17	9027	294	0.9684572809169821
GR_TET2a	J	18	2	2	0.49875311720698257
GR_TET2b	J	18	116	234	0.33141910231136257
GR_TET2a	J	19	5	5	0.4995004995004995
GR_TET2b	J	19	236	6459	0.03525013405506489
GR_TET2a	J	2	144	4	0.9729072359975678
GR_TET2b	J	2	185	139	0.5709700317891423
GR_TET2a	J	20	4	8	0.33305578684429643
GR_TET2b	J	20	179	161	0.5264551042616393
GR_TET2a	J	21	0	0	0.0
GR_TET2b	J	21	51	154	0.24876835276327985
GR_TET2a	J	22	0	3	0.0
GR_TET2b	J	22	215	2722	0.0732037003619327
GR_TET2a	J	23	18	0	0.9994447529150471
GR_TET2b	J	23	22	104	0.17458931830807078
GR_TET2a	J	24	0	0	0.0
GR_TET2b	J	24	22	142	0.1341381623071764
GR_TET2a	J	3	11	17	0.3927168868261335
GR_TET2b	J	3	142	3240	0.04198686579874098
GR_TET2a	J	4	2	5	0.28530670470756064
GR_TET2b	J	4	77	416	0.15618344455487718
GR_TET2a	J	5	2	8	0.1998001998001998
GR_TET2b	J	5	16	78	0.170194660142538
GR_TET2a	J	6	1	0	0.9900990099009901
GR_TET2b	J	6	130	434	0.2304923671566107
GR_TET2a	J	7	4	1	0.7984031936127745
GR_TET2b	J	7	59	240	0.19731781545767701
GR_TET2a	J	8	3	4	0.42796005706134094
GR_TET2b	J	8	175	338	0.3411239546987388
GR_TET2a	J	9	5	1	0.831946755407654
GR_TET2b	J	9	120	220	0.35293079615305434
GR_TET2a	K	1	15	4	0.7890583903208837
GR_TET2b	K	1	46	49	0.4841595621513525
GR_TET2a	K	10	1	313	0.0031846119550332794
GR_TET2b	K	10	27	29	0.4820567755757901
GR_TET2a	K	11	0	1	0.0
GR_TET2b	K	11	26	46	0.361060963755034
GR_TET2a	K	12	27	17	0.6134969325153374
GR_TET2b	K	12	149	219	0.40488030216570203
GR_TET2a	K	13	43	29	0.5971392862102486
GR_TET2b	K	13	12423	293	0.9769573946544553
GR_TET2a	K	14	6	4	0.5994005994005994
GR_TET2b	K	14	8	345	0.02266224752839863
GR_TET2a	K	15	556	2	0.9963979140158779
GR_TET2b	K	15	12	18	0.39986671109630123
GR_TET2a	K	16	33	14	0.7019783024888322
GR_TET2b	K	16	146	93	0.6108531023806536
GR_TET2a	K	17	46	19	0.7075834487002
GR_TET2b	K	17	386	292	0.5693131369743809
GR_TET2a	K	18	29	14	0.6742617995814927
GR_TET2b	K	18	235	196	0.545230969119046
GR_TET2a	K	19	47	6	0.8866251650631957
GR_TET2b	K	19	131	358	0.26788818224576183
GR_TET2a	K	2	31	12	0.7207626133457335
GR_TET2b	K	2	288	118	0.7093421344301865
GR_TET2a	K	20	37	260	0.12457493013703243
GR_TET2b	K	20	277	97	0.7406219085051202
GR_TET2a	K	21	19	7	0.7304882737408689
GR_TET2b	K	21	87	171	0.33719623270415877
GR_TET2a	K	22	41	13	0.7591186817256064
GR_TET2b	K	22	355	277	0.5616999731016914
GR_TET2a	K	23	25	8	0.757346258709482
GR_TET2b	K	23	59	135	0.30410803566826455
GR_TET2a	K	24	22	7	0.7583591864874181
GR_TET2b	K	24	79	132	0.3743898393441069
GR_TET2a	K	3	46	55	0.4554004554004554
GR_TET2b	K	3	274	2169	0.11215672469617398
GR_TET2a	K	4	39	16	0.708962006907835
GR_TET2b	K	4	207	8175	0.02469574720144691
GR_TET2a	K	5	17	15	0.5310840362386754
GR_TET2b	K	5	480	100	0.8275719384148549
GR_TET2a	K	6	29	13	0.6903118305165438
GR_TET2b	K	6	234	386	0.37741326752794313
GR_TET2a	K	7	398	3	0.9924939527692577
GR_TET2b	K	7	107	686	0.13492894162747002
GR_TET2a	K	8	42	19	0.6884117357810196
GR_TET2b	K	8	4769	273	0.9458529435681404
GR_TET2a	K	9	28	14	0.6665079742918353
GR_TET2b	K	9	3753	3469	0.5196614238972252
GR_TET2a	L	1	5	1	0.831946755407654
GR_TET2b	L	1	27	37	0.4218090923293235
GR_TET2a	L	10	1	1	0.49751243781094534
GR_TET2b	L	10	55	21	0.723589001447178
GR_TET2a	L	11	0	0	0.0
GR_TET2b	L	11	23	484	0.045363996765349794
GR_TET2a	L	12	18	22	0.4498875281179705
GR_TET2b	L	12	212	1129	0.15808979798808362
GR_TET2a	L	13	16	19	0.4570122822050843
GR_TET2b	L	13	515	171	0.7507179195638548
GR_TET2a	L	14	1	1	0.49751243781094534
GR_TET2b	L	14	22	42	0.34369629745352287
GR_TET2a	L	15	2	4	0.3327787021630616
GR_TET2b	L	15	3	10	0.23059185242121447
GR_TET2a	L	16	8	2	0.7992007992007992
GR_TET2b	L	16	151	55	0.7329741274695404
GR_TET2a	L	17	7	7	0.4996431120628123
GR_TET2b	L	17	6078	200	0.9681411784944592
GR_TET2a	L	18	9	5	0.6423982869379015
GR_TET2b	L	18	7713	173	0.9780611487938767
GR_TET2a	L	19	12	1	0.9223674096848579
GR_TET2b	L	19	194	303	0.3903341985070723
GR_TET2a	L	2	24	5	0.827300930713547
GR_TET2b	L	2	6422	71	0.989063623804676
GR_TET2a	L	20	12	10	0.5452067242162653
GR_TET2b	L	20	302	79	0.7926301146951524
GR_TET2a	L	21	6	2	0.7490636704119851
GR_TET2b	L	21	103	108	0.48812852471446855
GR_TET2a	L	22	7	7	0.4996431120628123
GR_TET2b	L	22	321	211	0.6033721170654687
GR_TET2a	L	23	9	3	0.7493755203996669
GR_TET2b	L	23	85	104	0.44971165546796465
GR_TET2a	L	24	10	0	0.999000999000999
GR_TET2b	L	24	67	79	0.4588726799534279
GR_TET2a	L	3	2500	39	0.984635743852919
GR_TET2b	L	3	525	289	0.6449552216803234
GR_TET2a	L	4	5	288	0.01706426401829289
GR_TET2b	L	4	159	2576	0.058135070804128684
GR_TET2a	L	5	6	12	0.3331482509716824
