Join_cols	RN_RUNX1_c	RN_RUNX1_g	RN_SRSF2	RN_TET2a
AS-197_C23_CD34	772	165	152	437
AS-197_C2_CD34	462	244	260	119
AS-197_C9_CD34	597	1625	120	112
AS-197_D12_CD34	1369	906	346	357
AS-197_D13_CD34	679	970	128	633
AS-197_D16_CD34	470	895	307	364
AS-197_D18_CD34	2030	308	601	449
AS-197_D20_CD34	1722	980	390	129
AS-197_D22_CD34	355	505	301	714
AS-197_D4_CD34	297	122	201	627
AS-197_D6_CD34	2888	541	543	447
AS-197_D8_CD34	564	248	162	107
AS-197_D9_CD34	1270	433	285	813
AS-197_E12_CD34	4117	1391	1060	165
AS-197_E13_CD34	4462	1014	538	264
AS-197_E16_CD34	1811	676	400	197
AS-197_E17_CD34	1709	694	150	853
AS-197_E18_CD34	4205	1156	800	209
AS-197_E19_CD34	1997	378	192	597
AS-197_E20_CD34	2529	610	621	556
AS-197_E21_CD34	1215	201	300	251
AS-197_E22_CD34	1235	448	147	489
AS-197_E23_CD34	1828	191	697	959
AS-197_E2_CD34	988	1502	419	559
AS-197_E6_CD34	2483	308	120	141
AS-197_E8_CD34	1501	1705	793	180
AS-197_E9_CD34	2068	1484	764	371
AS-197_F12_CD34	1285	619	418	913
AS-197_F13_CD34	2287	948	205	532
AS-197_F16_CD34	1529	325	302	809
AS-197_F17_CD34	1255	419	385	120
AS-197_F18_CD34	1662	458	337	1376
AS-197_F19_CD34	2509	309	272	887
AS-197_F20_CD34	2789	897	514	215
AS-197_F22_CD34	1021	1240	314	165
AS-197_F6_CD34	1260	694	119	174
AS-197_F8_CD34	1311	1121	341	105
AS-197_F9_CD34	1420	843	629	343
AS-197_G12_CD34	998	322	269	653
AS-197_G13_CD34	1137	793	530	689
AS-197_G16_CD34	1147	602	359	394
AS-197_G17_CD34	1924	1022	194	156
AS-197_G18_CD34	2453	700	219	649
AS-197_G19_CD34	1607	700	206	327
AS-197_G20_CD34	486	233	112	107
AS-197_G22_CD34	1318	949	200	760
AS-197_G23_CD34	805	1182	133	104
AS-197_G2_CD34	672	471	150	443
