	FSC-A	FSC-W	FSC-H	SSC-A	SSC-W	SSC-H	CD34-PE	Lin-PE-Cy5	CD123-PE-Cy7	CD90-BV421	Zombie	CD45RA-FITC	IL1RAP-APC	CD38-APC-cy7	Time	Well	Plate	Plate_Well	CD34_pos	CD38_pos	CD38_neg	IL1RAP_pos	CD45RA_pos	CD45RA_neg	CD123_pos	CD123_neg	CD90_pos	CD90_neg	lsc	hsc	mpp	lmpp	cmp	gmp	mep	unassigned	celltype
54	169053.3	106633.15	103899.0	64424.37	85883.44	49161.0	1809.4	1012.61005	1680.78	473.0	3305.0	300.15	1461.6	8186.4	14073.7	C6	not_seq	not_seq_C6	True	True	False	True	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
55	144684.0	97812.18	96941.0	46940.85	82327.08	37367.0	378.23	663.81	851.29004	437.0	2626.0	4062.03	707.2	4444.8003	14316.8	C7	not_seq	not_seq_C7	True	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
56	136646.1	111167.87	80556.0	93397.984	100448.51	60936.0	973.37006	1339.61	747.74005	628.0	2978.0	8045.7603	1688.8	2968.8	14578.4	C8	not_seq	not_seq_C8	True	False	True	True	True	False	True	False	True	False	True	False	False	False	False	False	False	False	LSC
57	121220.09	92053.16	86301.0	40188.78	79413.016	33166.0	1442.0701	988.63	400.03	216.0	2193.0	353.22	354.4	920.8	14811.9	C9	not_seq	not_seq_C9	True	False	True	False	False	True	True	False	False	True	False	False	True	False	False	False	False	False	MPP
58	165276.0	118931.06	91074.0	56367.3	95801.03	38560.0	1037.68	663.81	699.78	443.0	2512.0	259.26	596.8	7186.4	15037.1	C10	not_seq	not_seq_C10	True	True	False	False	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
59	117168.3	95011.586	80819.0	59724.63	81124.875	48248.0	754.28	490.5	570.07	559.0	2367.0	302.76	559.2	2648.8	15188.3	C11	not_seq	not_seq_C11	True	False	True	False	False	True	True	False	True	False	False	True	False	False	False	False	False	False	HSC
60	127766.695	95802.37	87402.0	39018.63	80694.41	31689.0	622.39	812.05005	987.54004	264.0	1997.0	5513.19	1044.8	5796.8003	15400.6	C12	not_seq	not_seq_C12	True	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
61	143294.39	115294.17	81452.0	44122.92	103817.89	27853.0	469.79	673.62	805.51	574.0	1492.0	1515.54	1188.8	7242.4	16392.7	C13	not_seq	not_seq_C13	True	True	False	False	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
62	154011.6	110366.02	91453.0	43487.82	90344.82	31546.0	370.6	975.55005	964.65	949.0	2853.0	7501.14	398.4	2999.2	16601.2	C14	not_seq	not_seq_C14	True	False	True	False	True	False	True	False	True	False	False	False	False	False	False	False	False	True	unassigned
63	164046.6	107179.47	100308.0	57239.91	86381.164	43427.0	517.75	553.72003	471.97	276.0	3030.0	2184.57	528.8	3794.4001	16790.3	C15	not_seq	not_seq_C15	True	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
64	204427.8	123386.04	108581.0	62827.92	93592.09	43994.0	516.66003	1104.17	773.9	601.0	4182.0	8166.69	1064.0	4825.6	17017.3	C16	not_seq	not_seq_C16	True	True	False	False	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
