	Plate_Well	celltype
730	AS-197_P3	MPP
731	AS-197_P4	GMP
732	AS-197_P5	GMP
733	AS-197_P6	GMP
734	AS-197_P7	GMP
735	AS-197_P8	MEP
736	AS-197_P9	MEP
737	AS-197_P10	MEP
738	AS-197_P11	CMP
739	AS-197_P12	CMP
740	AS-197_P13	GMP
741	AS-197_P14	CMP
742	AS-197_P15	MEP
743	AS-197_P16	GMP
744	AS-197_O16	GMP
745	AS-197_O17	GMP2
746	AS-197_O18	GMP2
747	AS-197_O19	GMP
748	AS-197_O20	LMPP
749	AS-197_O21	GMP
750	AS-197_O22	MEP
751	AS-197_O23	GMP
752	AS-197_O24	HSC
753	AS-197_P24	GMP
754	AS-197_P23	GMP
755	AS-197_P22	GMP
756	AS-197_P21	MEP
757	AS-197_P20	MEP
758	AS-197_P19	MEP
759	AS-197_P18	GMP
760	AS-197_P17	GMP2
761	AS-198_A2	LSC
762	AS-198_A3	MPP
763	AS-198_A4	MEP
764	AS-198_A5	GMP
765	AS-198_A6	MPP
766	AS-198_A7	MPP
767	AS-198_A8	GMP
768	AS-198_A9	GMP
769	AS-198_A10	LSC
770	AS-198_A11	GMP2
771	AS-198_A12	GMP
772	AS-198_A13	GMP
773	AS-198_A14	HSC
774	AS-198_A15	CMP
775	AS-198_A16	LSC
776	AS-198_A17	GMP
777	AS-198_A18	GMP
778	AS-198_A19	CMP
779	AS-198_A20	GMP
780	AS-198_A21	GMP
781	AS-198_A22	GMP
782	AS-198_A23	GMP
783	AS-198_A24	MEP
784	AS-198_B24	GMP
785	AS-198_B23	GMP
786	AS-198_B22	LMPP
787	AS-198_B21	MEP
788	AS-198_B20	GMP
789	AS-198_B19	GMP2
790	AS-198_B18	CMP
791	AS-198_B17	GMP
792	AS-198_B16	GMP
793	AS-198_B15	GMP
794	AS-198_B14	GMP
795	AS-198_B13	MEP
796	AS-198_B12	CMP
797	AS-198_B11	MPP
798	AS-198_B10	LMPP
799	AS-198_B9	GMP
800	AS-198_B8	CMP
801	AS-198_B7	GMP
802	AS-198_B6	CMP
803	AS-198_B5	MEP
804	AS-198_B4	GMP2
805	AS-198_B3	GMP2
806	AS-198_C2	CMP
807	AS-198_C1	HSC
808	AS-198_B1	CMP
809	AS-198_D1	CMP
810	AS-198_D2	GMP2
811	AS-198_D3	GMP2
812	AS-198_D4	GMP2
813	AS-198_C4	GMP
814	AS-198_C5	GMP
815	AS-198_C6	GMP
816	AS-198_C7	CMP
817	AS-198_C8	GMP
818	AS-198_C9	CMP
819	AS-198_C10	CMP
820	AS-198_C11	GMP
821	AS-198_C12	GMP
822	AS-198_C13	GMP
823	AS-198_C14	MPP
824	AS-198_C15	LMPP
825	AS-198_C16	MEP
826	AS-198_C17	MPP
827	AS-198_C18	unassigned
828	AS-198_C19	GMP2
829	AS-198_C20	MEP
830	AS-198_C21	GMP2
831	AS-198_C22	GMP
832	AS-198_C23	GMP
833	AS-198_C24	GMP
834	AS-198_D24	CMP
835	AS-198_D23	GMP
836	AS-198_D22	GMP
837	AS-198_D21	HSC
838	AS-198_D20	MEP
839	AS-198_D19	CMP
840	AS-198_D18	MEP
841	AS-198_D17	CMP
842	AS-198_D16	GMP
843	AS-198_D15	MEP
844	AS-198_D14	GMP
845	AS-198_D13	CMP
846	AS-198_D12	GMP
847	AS-198_D11	GMP
848	AS-198_D10	MEP
849	AS-198_D9	CMP
850	AS-198_D8	HSC
851	AS-198_D7	GMP
852	AS-198_D6	LMPP
853	AS-198_D5	CMP
854	AS-198_E5	MEP
855	AS-198_E4	CMP
856	AS-198_E3	GMP
857	AS-198_E2	GMP
858	AS-198_E1	MEP
859	AS-198_F1	MEP
860	AS-198_F2	MEP
861	AS-198_F3	GMP
862	AS-198_F4	CMP
863	AS-198_F5	MEP
864	AS-198_F6	CMP
865	AS-198_E6	CMP
866	AS-198_E7	MPP
867	AS-198_E8	GMP
868	AS-198_E9	GMP
869	AS-198_E10	LMPP
870	AS-198_E11	CMP
871	AS-198_E12	GMP
872	AS-198_E13	GMP
873	AS-198_E14	GMP2
874	AS-198_E15	GMP2
875	AS-198_E16	CMP
876	AS-198_E17	CMP
877	AS-198_E18	GMP
878	AS-198_E19	GMP
879	AS-198_E20	HSC
880	AS-198_E21	GMP
881	AS-198_E22	GMP2
882	AS-198_E23	MEP
883	AS-198_E24	GMP
884	AS-198_F24	MEP
885	AS-198_F23	GMP
886	AS-198_F22	LMPP
887	AS-198_F21	CMP
888	AS-198_F20	GMP
889	AS-198_F19	GMP
890	AS-198_F18	GMP
891	AS-198_F17	MEP
892	AS-198_F16	GMP
893	AS-198_F15	CMP
894	AS-198_F14	MPP
895	AS-198_F13	GMP2
896	AS-198_F12	GMP
897	AS-198_F11	MPP
898	AS-198_F10	MEP
899	AS-198_F9	GMP
900	AS-198_F8	GMP
901	AS-198_F7	GMP
902	AS-198_G7	GMP
903	AS-198_G6	GMP2
904	AS-198_G5	MEP
905	AS-198_G4	MEP
906	AS-198_G3	CMP
907	AS-198_G2	MEP
908	AS-198_G1	LSC
909	AS-198_H1	MEP
910	AS-198_H2	GMP
911	AS-198_H3	MEP
912	AS-198_H4	GMP
913	AS-198_H5	CMP
914	AS-198_H6	MEP
915	AS-198_H7	GMP2
916	AS-198_H8	GMP
917	AS-198_G8	GMP
918	AS-198_G9	GMP
919	AS-198_G10	GMP
920	AS-198_G11	GMP2
921	AS-198_G12	GMP2
922	AS-198_G13	GMP
923	AS-198_G14	GMP
924	AS-198_G15	GMP
925	AS-198_G16	GMP
926	AS-198_G17	GMP2
927	AS-198_G18	GMP
928	AS-198_G19	GMP
929	AS-198_G20	CMP
930	AS-198_G21	MEP
931	AS-198_G22	GMP
932	AS-198_G23	MEP
933	AS-198_G24	MEP
934	AS-198_H24	MEP
935	AS-198_H23	GMP
936	AS-198_H22	GMP
937	AS-198_H21	CMP
938	AS-198_H20	MEP
939	AS-198_H19	MEP
940	AS-198_H18	GMP
941	AS-198_H17	GMP
942	AS-198_H16	MEP
943	AS-198_H15	GMP
944	AS-198_H14	MEP
945	AS-198_H13	GMP
946	AS-198_H12	MEP
947	AS-198_H11	MEP
948	AS-198_H10	GMP
949	AS-198_H9	MEP
950	AS-198_I9	GMP
951	AS-198_I8	MEP
952	AS-198_I7	GMP
953	AS-198_I6	GMP2
954	AS-198_I5	GMP
955	AS-198_I4	LMPP
956	AS-198_I3	GMP
957	AS-198_I2	MEP
958	AS-198_I1	LSC
959	AS-198_J1	GMP
960	AS-198_J2	GMP2
961	AS-198_J3	GMP
962	AS-198_J4	GMP
963	AS-198_J5	MEP
964	AS-198_J6	GMP2
965	AS-198_J7	GMP
966	AS-198_J8	GMP
967	AS-198_J9	GMP
968	AS-198_J10	CMP
969	AS-198_I10	LSC
970	AS-198_I11	GMP
971	AS-198_I12	GMP
972	AS-198_I13	GMP
973	AS-198_I14	GMP
974	AS-198_I15	CMP
975	AS-198_I16	GMP
976	AS-198_I17	GMP
977	AS-198_I18	GMP
978	AS-198_I19	GMP
979	AS-198_I20	GMP
980	AS-198_I21	MEP
981	AS-198_I22	MEP
982	AS-198_I23	LMPP
983	AS-198_I24	MEP
