	Plate_Well	celltype
656	AS-189_L22	NE
657	AS-189_L21	NE
658	AS-189_L20	NE
659	AS-189_L19	NE
660	AS-189_L18	NE
661	AS-189_L17	NE
662	AS-189_L16	NE
663	AS-189_L15	NE
664	AS-189_L14	NE
665	AS-189_L13	NE
666	AS-189_M13	NE
667	AS-189_M12	NE
668	AS-189_M11	NE
669	AS-189_M10	NE
670	AS-189_M9	NE
671	AS-189_M8	NE
672	AS-189_M7	NE
673	AS-189_M6	NE
674	AS-189_M5	NE
675	AS-189_M4	NE
676	AS-189_M3	NE
677	AS-189_M2	NE
678	AS-189_M1	NE
679	AS-189_N1	NE
680	AS-189_N2	NE
681	AS-189_N3	NE
682	AS-189_N4	NE
683	AS-189_N5	NE
684	AS-189_N6	NE
685	AS-189_N7	NE
686	AS-189_N8	NE
687	AS-189_N9	NE
688	AS-189_N10	NE
689	AS-189_N11	NE
690	AS-189_N12	NE
691	AS-189_N13	NE
692	AS-189_N14	NE
693	AS-189_M14	NE
694	AS-189_M15	NE
695	AS-189_M16	NE
696	AS-189_M17	NE
697	AS-189_M18	NE
698	AS-189_M19	NE
699	AS-189_M20	NE
700	AS-189_M21	NE
701	AS-189_M22	NE
702	AS-189_M23	NE
703	AS-189_M24	NE
704	AS-189_N24	NE
705	AS-189_N23	NE
706	AS-189_N22	NE
707	AS-189_N21	NE
708	AS-189_N20	NE
709	AS-189_N19	NE
710	AS-189_N18	NE
711	AS-189_N17	NE
712	AS-189_N16	NE
713	AS-189_N15	NE
714	AS-189_O15	NE
715	AS-189_O14	NE
716	AS-189_O13	NE
717	AS-189_O12	NE
718	AS-189_O11	NE
719	AS-189_O10	NE
720	AS-189_O9	NE
721	AS-189_O8	NE
722	AS-189_O7	NE
723	AS-189_O6	NE
724	AS-189_O5	NE
725	AS-189_O4	NE
726	AS-189_O3	NE
727	AS-189_O2	NE
728	AS-189_O1	NE
729	AS-189_P1	NE
730	AS-189_P2	NE
731	AS-189_P3	NE
732	AS-189_P4	NE
733	AS-189_P5	NE
734	AS-189_P6	NE
735	AS-189_P7	NE
736	AS-189_P8	NE
737	AS-189_P9	NE
738	AS-189_P10	NE
739	AS-189_P11	NE
740	AS-189_P12	NE
741	AS-189_P13	NE
742	AS-189_P14	NE
743	AS-189_P15	NE
744	AS-189_P16	NE
745	AS-189_O16	NE
746	AS-189_O17	NE
747	AS-189_O18	NE
748	AS-189_O19	NE
749	AS-189_O20	NE
750	AS-189_O21	NE
751	AS-189_O22	NE
752	AS-189_O23	NE
753	AS-189_O24	NE
754	AS-189_P24	NE
755	AS-189_P23	NE
756	AS-189_P22	NE
757	AS-189_P21	NE
758	AS-189_P20	NE
759	AS-189_P19	NE
760	AS-189_P18	NE
761	AS-189_P17	NE
762	not_seq_NE3_A2	NE
763	not_seq_NE3_A3	NE
764	not_seq_NE3_A4	NE
765	not_seq_NE3_A5	NE
766	not_seq_NE3_A6	NE
767	not_seq_NE3_A7	NE
768	not_seq_NE3_A8	NE
769	not_seq_NE3_A9	NE
770	not_seq_NE3_A10	NE
771	not_seq_NE3_A11	NE
772	not_seq_NE3_A12	NE
773	not_seq_NE3_A13	NE
774	not_seq_NE3_A14	NE
775	not_seq_NE3_A15	NE
776	not_seq_NE3_A16	NE
777	not_seq_NE3_A17	NE
778	not_seq_NE3_A18	NE
779	not_seq_NE3_A19	NE
780	not_seq_NE3_A20	NE
781	not_seq_NE3_A21	NE
782	not_seq_NE3_A22	NE
783	not_seq_NE3_A23	NE
784	not_seq_NE3_A24	NE
785	not_seq_NE3_B24	NE
786	not_seq_NE3_B23	NE
787	not_seq_NE3_B22	NE
788	not_seq_NE3_B21	NE
789	not_seq_NE3_B20	NE
790	not_seq_NE3_B19	NE
791	not_seq_NE3_B18	NE
792	not_seq_NE3_B17	NE
793	not_seq_NE3_B16	NE
794	not_seq_NE3_B15	NE
795	not_seq_NE3_B14	NE
796	not_seq_NE3_B13	NE
797	not_seq_NE3_B12	NE
798	not_seq_NE3_B11	NE
799	not_seq_NE3_B10	NE
800	not_seq_NE3_B9	NE
801	not_seq_NE3_B8	NE
802	not_seq_NE3_B7	NE
803	not_seq_NE3_B6	NE
804	not_seq_NE3_B5	NE
805	not_seq_NE3_B4	NE
806	not_seq_NE3_B3	NE
807	not_seq_NE3_C2	NE
808	not_seq_NE3_C1	NE
809	not_seq_NE3_B1	NE
810	not_seq_NE3_D1	NE
811	not_seq_NE3_D2	NE
812	not_seq_NE3_D3	NE
813	not_seq_NE3_D4	NE
814	not_seq_NE3_C4	NE
815	not_seq_NE3_C5	NE
816	not_seq_NE3_C6	NE
817	not_seq_NE3_C7	NE
818	not_seq_NE3_C8	NE
819	not_seq_NE3_C9	NE
820	not_seq_NE3_C10	NE
821	not_seq_NE3_C11	NE
822	not_seq_NE3_C12	NE
823	not_seq_NE3_C13	NE
824	not_seq_NE3_C14	NE
825	not_seq_NE3_C15	NE
826	not_seq_NE3_C16	NE
827	not_seq_NE3_C17	NE
828	not_seq_NE3_C18	NE
829	not_seq_NE3_C19	NE
830	not_seq_NE3_C20	NE
831	not_seq_NE3_C21	NE
832	not_seq_NE3_C22	NE
833	not_seq_NE3_C23	NE
834	not_seq_NE3_C24	NE
835	not_seq_NE3_D24	NE
836	not_seq_NE3_D23	NE
837	not_seq_NE3_D22	NE
838	not_seq_NE3_D21	NE
839	not_seq_NE3_D20	NE
840	not_seq_NE3_D19	NE
841	not_seq_NE3_D18	NE
842	not_seq_NE3_D17	NE
843	not_seq_NE3_D16	NE
844	not_seq_NE3_D15	NE
845	not_seq_NE3_D14	NE
846	not_seq_NE3_D13	NE
847	not_seq_NE3_D12	NE
848	not_seq_NE3_D11	NE
849	not_seq_NE3_D10	NE
850	not_seq_NE3_D9	NE
851	not_seq_NE3_D8	NE
852	not_seq_NE3_D7	NE
853	not_seq_NE3_D6	NE
854	not_seq_NE3_D5	NE
855	not_seq_NE3_E5	NE
856	not_seq_NE3_E4	NE
857	not_seq_NE3_E3	NE
858	not_seq_NE3_E2	NE
859	not_seq_NE3_E1	NE
860	not_seq_NE3_F1	NE
861	not_seq_NE3_F2	NE
862	not_seq_NE3_F3	NE
863	not_seq_NE3_F4	NE
864	not_seq_NE3_F5	NE
865	not_seq_NE3_F6	NE
866	not_seq_NE3_E6	NE
867	not_seq_NE3_E7	NE
868	not_seq_NE3_E8	NE
869	not_seq_NE3_E9	NE
870	not_seq_NE3_E10	NE
871	not_seq_NE3_E11	NE
872	not_seq_NE3_E12	NE
873	not_seq_NE3_E13	NE
874	not_seq_NE3_E14	NE
875	not_seq_NE3_E15	NE
876	not_seq_NE3_E16	NE
877	not_seq_NE3_E17	NE
878	not_seq_NE3_E18	NE
879	not_seq_NE3_E19	NE
880	not_seq_NE3_E20	NE
881	not_seq_NE3_E21	NE
882	not_seq_NE3_E22	NE
883	not_seq_NE3_E23	NE
884	not_seq_NE3_E24	NE
885	not_seq_NE3_F24	NE
